xavg,yavg,zavg,xstddev,ystddev,zstddev,xabsdev,yabsdev,zabsdev,res,xzcr,yzcr,zzcr,minx,miny,minz,maxx,maxy,maxz,class,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9
0.800402342,0.536562837,0.453503585,0.150495694,0.129891682,0.021092778,0.207904981,0.138136609,0.023110295,0.214448691,0,0,0.015625,0.955267608,0.725739589,0.881103777,0.328105805,0.298292038,0.202973388,0,0,0,0,0,0,0,0,0.37109375,0.375,0.25390625,0,0,0.24609375,0.40625,0.34765625,0,0,0,0,0,0,0,0,0,0.015625,0.984375,0,0,0,0
0.803990151,0.559515567,0.456511363,0.156715532,0.130985314,0.039192797,0.202455457,0.133301039,0.038132033,0.197273119,0,0,0.0234375,0.96861597,0.721076577,0.876259133,0.339389982,0.31558939,0.223817559,0,0,0,0,0,0,0,0,0.35546875,0.40625,0.23828125,0,0,0.14453125,0.4765625,0.37890625,0,0,0,0,0,0,0,0,0,0.01953125,0.95703125,0.0234375,0,0,0
0.811836809,0.557262549,0.457316422,0.140147742,0.109021648,0.014768184,0.187895308,0.111771584,0.015012546,0.205122881,0,0,0.015625,0.946403569,0.736740327,0.876259133,0.331578457,0.297806006,0.211585211,0,0,0,0,0,0,0,0,0.30859375,0.4453125,0.24609375,0,0,0.13671875,0.515625,0.34765625,0,0,0,0,0,0,0,0,0,0.0078125,0.98828125,0.00390625,0,0,0
0.815382853,0.570234337,0.45268907,0.131189785,0.10066054,0.036987167,0.177161562,0.10711939,0.033992292,0.195186776,0,0,0.0390625,0.986511491,0.759438502,0.873851404,0.348286859,0.307418173,0.218529385,0,0,0,0,0,0,0,0,0.296875,0.4453125,0.2578125,0,0,0.08203125,0.52734375,0.390625,0,0,0,0,0,0,0,0,0,0.0234375,0.953125,0.0234375,0,0,0
0.811459339,0.570270651,0.456470868,0.120399088,0.083003673,0.027723205,0.157927889,0.088685132,0.023775785,0.187671264,0,0,0.0390625,0.974722059,0.763961432,0.852725596,0.37265795,0.306007759,0.211852163,0,0,0,0,0,0,0,0,0.2578125,0.515625,0.2265625,0,0,0.0390625,0.5859375,0.375,0,0,0,0,0,0,0,0,0,0.03515625,0.9609375,0.00390625,0,0,0
0.784704081,0.552564051,0.464484069,0.12319332,0.103468559,0.040294605,0.164138616,0.101654982,0.035967271,0.170984485,0,0,0.015625,0.994324184,0.735043244,0.877679928,0.327041148,0.304600871,0.238696522,0,0,0,0,0,0,0,0,0.38671875,0.421875,0.19140625,0,0,0.140625,0.5234375,0.3359375,0,0,0,0,0,0,0,0,0,0.01171875,0.953125,0.03515625,0,0,0
0.781977794,0.546791642,0.46451562,0.148332445,0.100356254,0.024619446,0.194782043,0.103115806,0.024635593,0.172432559,0,0,0.01171875,0.96417349,0.740055253,0.883303372,0.3296305,0.298014554,0.246927013,0,0,0,0,0,0,0,0,0.40234375,0.36328125,0.234375,0,0,0.1640625,0.49609375,0.33984375,0,0,0,0,0,0,0,0,0,0.01171875,0.9765625,0.01171875,0,0,0
0.78523984,0.538849461,0.481289775,0.138427197,0.10061476,0.044598629,0.184463117,0.103693553,0.036725255,0.190930893,0,0,0.015625,0.969381584,0.737132626,0.856741511,0.324576276,0.290406066,0.252645737,0,0,0,0,0,0,0,0,0.37890625,0.41015625,0.2109375,0,0,0.19140625,0.48828125,0.3203125,0,0,0,0,0,0,0,0,0,0.01953125,0.91015625,0.0703125,0,0,0
0.808839595,0.53459506,0.478383806,0.144610588,0.107263228,0.030584234,0.192883121,0.115165446,0.024618905,0.230490111,0,0,0.01953125,0.961206676,0.739389367,0.851103863,0.325410147,0.286072839,0.224770059,0,0,0,0,0,0,0,0,0.3125,0.44921875,0.23828125,0,0,0.23046875,0.44140625,0.328125,0,0,0,0,0,0,0,0,0,0.015625,0.96484375,0.01953125,0,0,0
0.800708963,0.537609737,0.461129934,0.130813571,0.097833586,0.021740892,0.181854247,0.101659231,0.018400509,0.208935743,0,0,0.01953125,0.969726582,0.731513913,0.869517475,0.333445696,0.277484876,0.214750977,0,0,0,0,0,0,0,0,0.3515625,0.4140625,0.234375,0,0,0.17578125,0.515625,0.30859375,0,0,0,0,0,0,0,0,0,0.015625,0.9765625,0.0078125,0,0,0
0.815728059,0.544012756,0.459679892,0.139984453,0.134362967,0.028429539,0.192370729,0.140340449,0.031117146,0.229343475,0,0,0.00390625,0.958620403,0.717151041,0.879343948,0.328940583,0.309395855,0.211267609,0,0,0,0,0,0,0,0,0.3125,0.421875,0.265625,0,0,0.19140625,0.44921875,0.359375,0,0,0,0,0,0,0,0,0,0.0078125,0.984375,0.0078125,0,0,0
0.822731568,0.558671638,0.478299458,0.134785321,0.138355732,0.058737099,0.181321453,0.148848275,0.059081265,0.232123678,0,0,0.0234375,0.983609344,0.741010672,0.872283587,0.377792893,0.313820782,0.22331736,0,0,0,0,0,0,0,0,0.3046875,0.421875,0.2734375,0,0,0.18359375,0.43359375,0.3828125,0,0,0,0,0,0,0,0,0,0.01953125,0.91796875,0.0625,0,0,0
0.808849124,0.56805135,0.485354754,0.139438351,0.132408452,0.048063264,0.183442201,0.142060769,0.046189407,0.205219271,0,0,0.015625,0.961396943,0.7519337,0.879945292,0.349317346,0.327575632,0.230152023,0,0,0,0,0,0,0,0,0.31640625,0.44140625,0.2421875,0,0,0.12109375,0.49609375,0.3828125,0,0,0,0,0,0,0,0,0,0.0078125,0.92578125,0.06640625,0,0,0
